

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.004  000.004: --- NVIM STARTING ---
000.138  000.133: event init
003.737  003.600: early init
003.862  000.125: locale set
003.909  000.046: init first window
004.087  000.178: inits 1
004.095  000.008: window checked
004.122  000.027: parsing arguments
004.443  000.030  000.030: require('vim.shared')
004.521  000.027  000.027: require('vim._meta')
004.523  000.077  000.050: require('vim._editor')
004.524  000.164  000.057: require('vim._init_packages')
004.525  000.239: init lua interpreter
004.589  000.064: expanding arguments
004.633  000.044: inits 2
004.851  000.218: init highlight
004.852  000.001: waiting for UI
004.972  000.121: done waiting for UI
004.978  000.006: clear screen
005.107  000.129: init default mappings & autocommands
005.328  000.039  000.039: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
005.358  000.016  000.016: sourcing /usr/local/share/nvim/runtime/indent.vim
005.488  000.004  000.004: require('vim.keymap')
005.773  000.329  000.325: require('wormholecowboy.core.keymaps')
006.102  000.327  000.327: require('wormholecowboy.core.options')
006.104  000.689  000.033: require('wormholecowboy.core')
006.439  000.233  000.233: require('lazy')
006.460  000.012  000.012: require('ffi')
006.502  000.040  000.040: require('vim.loader')
006.580  000.048  000.048: require('vim.fs')
006.758  000.241  000.193: require('lazy.stats')
006.819  000.043  000.043: require('lazy.core.util')
006.969  000.147  000.147: require('lazy.core.config')
007.166  000.125  000.125: require('lazy.core.handler')
007.246  000.077  000.077: require('lazy.core.plugin')
007.251  000.281  000.079: require('lazy.core.loader')
007.502  000.061  000.061: require('wormholecowboy.plugins')
007.587  000.063  000.063: require('wormholecowboy.plugins.autopairs')
007.651  000.058  000.058: require('wormholecowboy.plugins.bufferline')
007.713  000.051  000.051: require('wormholecowboy.plugins.colors')
007.773  000.034  000.034: require('wormholecowboy.plugins.comment')
007.888  000.109  000.109: require('wormholecowboy.plugins.conform')
007.990  000.096  000.096: require('wormholecowboy.plugins.fugitive')
008.052  000.055  000.055: require('wormholecowboy.plugins.harpoon')
008.096  000.037  000.037: require('wormholecowboy.plugins.hop')
008.131  000.028  000.028: require('wormholecowboy.plugins.illuminate')
008.260  000.123  000.123: require('wormholecowboy.plugins.lsp')
008.377  000.064  000.064: require('wormholecowboy.plugins.lualine')
008.407  000.022  000.022: require('wormholecowboy.plugins.neoscroll')
008.432  000.020  000.020: require('wormholecowboy.plugins.nvim-colorizer')
008.458  000.022  000.022: require('wormholecowboy.plugins.nvim-tree')
008.628  000.167  000.167: require('wormholecowboy.plugins.nvim-treesitter-context')
008.729  000.056  000.056: require('wormholecowboy.plugins.telescope')
008.788  000.044  000.044: require('wormholecowboy.plugins.todo-comments')
008.836  000.033  000.033: require('wormholecowboy.plugins.treesitter')
008.894  000.051  000.051: require('wormholecowboy.plugins.trouble')
008.938  000.031  000.031: require('wormholecowboy.plugins.undotree')
